,artist,song,lyrics
34,The Beatles,A Hard Day's Night,"It's been a hard day's night, and I've been working like a dog  
It's been a hard day's night, I should be sleeping like a log  
But when I get home to you I find the things that you do  
Will make me feel alright  
  
You know I work all day to get you money to buy you things  
And it's worth it just to hear you say you're going to give me everything  
So why on earth should I moan, 'cause when I get you alone  
You know I feel OK  
  
When I'm home everything seems to be right  
When I'm home feeling you holding me tight, tight  
  
It's been a hard day's night, and I been working like a dog  
It's been a hard day's night, I should be sleeping like a log  
But when I get home to you I find the things that you do  
Will make me feel alright, oww  
  
So why on earth should I moan, 'cause when I get you alone  
You know I feel OK  
  
When I'm home everything seems to be right  
When I'm home feeling you holding me tight, tight  
  
It's been a hard day's night, and I been working like a dog  
It's been a hard day's night, I should be sleeping like a log  
But when I get home to you I find the things that you do  
Will make me feel alright  
You know I feel alright  
You know I feel alright

"
35,The Beatles,A Little Rhyme,"[Speech]  
  
Rodney Burke: Now, for the final number, John's got a card in his hand with a
little rhyme on it. What is it?  
John: It's from the form up a third at Hemel Hempstead.  
Rodney: Oh!  
John: It says, ""Dear George, John, Ringo, Paul, here's hoping that you'll
please us all. A beauty song and swinging voice, we leave it up to you, the
choice. We think you're fab and really cool, so brighten up our lads at
school."" Dig this, for here's Paul, whistling ""Clarabella

"
36,The Beatles,A Taste Of Honey,"A taste of honey,  
Tasting much sweeter than wine  
  
Do do do  
Do do do  
  
I dream of your first kiss, and then,  
I feel upon my lips again,  
A taste of honey, a taste of honey  
Tasting much sweeter than wine  
  
I will return, yes I will return,  
I'll come back for the honey and you  
  
Do do do  
Do do do  
  
Yours was the kiss that awoke my heart,  
There lingers still, 'though we're far apart,  
That taste of honey, a taste of honey  
Tasting much sweeter than wine  
  
I will return, yes I will return,  
I'll come back (he'll come back)  
For the honey (for the honey)  
And you

"
37,The Beatles,Act Naturally,"They're gonna put me in the movies  
They're gonna make a big star out of me  
We'll make a film about a man that's sad and lonely  
And all I gotta do is act naturally  
  
Well, I'll bet you I'm gonna be a big star  
Might win an Oscar you can never tell  
The movies gonna make me a big star  
'Cause I can play the part so well  
  
Well I hope you come and see me in the movies  
Then I know that you will plainly see  
The biggest fool that ever hit the big time  
And all I gotta do is act naturally  
  
We'll make the scene about a man that's sad and lonely  
And beggin' down upon his bended knee  
I'll play the part but I won't need rehearsal  
All I gotta do is act naturally  
  
Well, I'll bet you I'm gonna be a big star  
Might win an Oscar you can never tell  
The movies gonna make me a big star  
'Cause I can play the part so well  
  
Well I hope you come and see me in the movies  
Then I know that you will plainly see  
The biggest fool that ever hit the big time  
And all I gotta do is act naturally

"
38,The Beatles,Ain't She Sweet,"Oh ain't she sweet,  
Well see her walking down that street.  
Yes I ask you very confidentially,  
Ain't she sweet?  
  
Oh ain't she nice,  
Well look her over once or twice.  
Yes I ask you very confidentially,  
Ain't she nice?  
  
Just cast an eye  
In her direction.  
Oh me oh my,  
Ain't that perfection?  
  
Oh I repeat  
Well don't you think that's kind of neat?  
Yes I ask you very confidentially,  
Ain't she sweet?  
  
Oh ain't she sweet,  
Well see her walking down that street.  
Well I ask you very confidentially,  
Ain't she sweet?  
  
Oh ain't that nice,  
Well look it over once or twice.  
Yes I ask you very confidentially,  
Ain't she nice?  
  
Just cast an eye  
In her direction.  
Oh me oh my,  
Ain't that perfection?  
  
Oh I repeat  
Well don't you think that's kind of neat?  
Yes I ask you very confidentially,  
Ain't she sweet?  
  
Oh ain't she sweet,  
Well see her walking down that street.  
Well I ask you very confidentially,  
Ain't she sweet?  
Well I ask you very confidentially,  
Ain't she sweet?

"
39,The Beatles,All My Loving,"Close your eyes and I'll kiss you  
Tomorrow I'll miss you  
Remember I'll always be true  
And then while I'm away  
I'll write home every day  
And I'll send all my loving to you  
  
I'll pretend that I'm kissing  
The lips I am missing  
And hope that my dreams will come true  
And then while I'm away  
I'll write home every day  
And I'll send all my loving to you  
  
All my loving, I will send to you  
All my loving, darling I'll be true  
  
Close your eyes and I'll kiss you  
Tomorrow I'll miss you  
Remember I'll always be true  
And then while I'm away  
I'll write home every day  
And I'll send all my loving to you  
  
All my loving, I will send to you  
All my loving, darling I'll be true  
All my loving, all my loving  
Woo, all my loving, I will send to you

"
40,The Beatles,All Things Must Pass,"Sunrise doesn't last all morning  
A cloudburst doesn't last all day  
Seems my love is up  
And has left you with no warning  
But it's not always going to be this grey  
  
All things must pass  
All things must pass away  
  
Sunset doesn't last all evening  
A mind can blow those clouds away  
After all this my love is up  
And must be leaving  
It has not always been this grey  
  
All things must pass  
All things must pass away  
  
All things must pass  
None of life's strings can last  
So I must be on my way  
And face another day  
  
Now the darkness only stays at nighttime  
In the morning it will fade away  
Daylight is good  
At arriving at the right time  
It's not always going to be this grey  
  
All things must pass  
All things must pass away  
All things must pass  
All things must pass away

"
41,The Beatles,All Together Now,"One two three four  
Can I have a little more  
Five six seven eight nine ten  
I love you  
  
A B C D  
Can I bring my friend to tea  
E F G H I J  
I love you  
  
Bom bom bom bompa bom  
Sail the ship Bompa bom  
Chop the tree bompa bom  
Skip the rope bompa bom  
Look at me  
  
All together now  
All together now  
All together now  
All together now  
All together now  
All together now  
All together now  
All together now  
  
Black white green red  
Can I take my friend to bed  
Pink brown yellow orange and blue  
I love you  
  
All together now  
All together now  
All together now  
All together now  
All together now  
All together now  
All together now  
All together now  
All together now  
All together now  
All together now  
All together now  
All together now  
All together now  
All together now  
All together now  
Bom bom bom bompa bom  
Sail the ship Bompa bom  
Chop the tree bompa bom  
Skip the rope bompa bom  
Look at me  
  
All together now  
All together now  
All together now  
All together now  
All together now  
All together now  
All together now  
All together now  
All together now  
All together now  
All together now  
All together now  
All together now  
All together now  
All together now  
All together now

"
42,The Beatles,All You Need Is Love,"Love, love, love, love, love, love, love, love, love.  
  
There's nothing you can do that can't be done.  
Nothing you can sing that can't be sung.  
Nothing you can say, but you can learn  
How to play the game  
It's easy.  
Nothing you can make that can't be made.  
No one you can save that can't be saved.  
Nothing you can do, but you can learn  
How to be you in time  
It's easy.  
  
All you need is love, all you need is love,  
All you need is love, love. Love is all you need.  
Love, love, love, love, love, love, love, love, love.  
All you need is love, all you need is love,  
All you need is love, love. Love is all you need.  
  
There's nothing you can know that isn't known.  
Nothing you can see that isn't shown.  
There's nowhere you can be that isn't where  
You're meant to be  
It's easy.  
  
All you need is love, all you need is love,  
All you need is love, love. Love is all you need.  
All you need is love. (All together now).  
All you need is love. (Everybody).  
All you need is love, love. Love is all you need.  
Love is all you need.  
Love is all you need  
  
(Yesterday)  
(Oh yeah)  
(She love you, yeah, yeah, yeah)  
(She love you, yeah, yeah, yeah)  
(Oh, yesterday)

"
43,The Beatles,"Anna, Go To Him","Anna,  
You come and ask me, girl,  
To set you free, girl,  
You say he loves you more than me,  
So I will set you free,  
Go with him.  
Go with him.  
  
[Chorus]  
Anna,  
Girl, before you go now,  
I want you to know, now,  
That I still love you so,  
But if he loves you mo',  
Go with him.  
  
All of my life,  
I've been searchin' for a girl  
To love me like I love you.  
Oh, now, but every girl I've ever had,  
Breaks my heart and leaves me sad.  
What am I, what am I supposed to do.  
  
Anna,  
Just one more thing, girl.  
You give back your ring to me, and I will set you free,  
Go with him.  
  
[Chorus]  
  
All of my life,  
I've been searchin' for a girl  
To love me like I love you.  
Oh, now, but every girl I've ever had,  
Breaks my heart and leaves me sad.  
What am I, what am I supposed to do.

"
44,The Beatles,"Baby, It's You","It's not the way you smile that touched my heart  
It's not the way you kiss that tears my apart  
  
But how many many many nights go by  
I sit alone at home and cry over you  
What can I do, can't help myself  
'Cause baby it's you, baby it's you  
  
You should hear what they say about you (cheat, cheat)  
They say, they say you never never ever been true (cheat, cheat)  
  
Wo ho, it doesn't matter what they say  
I know I'm gonna love you any old way  
What can I do, then it's true  
Don't want nobody, nobody  
'Cause baby it's you, baby it's you  
  
Wo ho, it doesn't matter what they say  
I know I'm gonna love you any old way  
What can I do, then it's true  
Don't want nobody, nobody  
'Cause baby it's you  
Baby it's you, don't leave me all alone

"
45,The Beatles,Baby's In Black,"Oh dear, what can I do?  
Baby's in black  
And I'm feeling blue  
Tell me, oh what can I do?  
She thinks of him  
And so she dresses in black  
And though he'll never come back  
She's dressed in black  
  
Oh dear, what can I do?  
Baby's in black  
And I'm feeling blue  
Tell me, oh what can I do?  
I think of her  
But she thinks only of him  
And though it's only a whim  
She thinks of him  
  
Oh how long will it take  
Till she sees the mistake  
She has made?  
Dear what can I do?  
Baby's in black  
And I'm feeling blue  
Tell me, oh what can I do?

"
46,The Beatles,Back In The USSR,"Flew in from Miami Beach BOAC  
Didn't get to bed last night  
On the way the paper bag was on my knee  
Man, I had a dreadful flight  
I'm back in the USSR  
You don't know how lucky you are, boy  
Back in the USSR, yeah  
  
Been away so long I early knew the place  
Gee, it's good to be back home  
Leave it till tomorrow to unpack my case  
Honey disconnect the phone  
I'm back in the USSR  
You don't know how lucky you are, boy  
Back in the US  
Back in the US  
Back in the USSR  
  
Well the Ukraine girls really knock me out  
They leave the west behind  
And Moscow girls make me sing and shout  
That Georgia's always on my my my my my my my my my mind  
Oh, come on  
Hu hey hu, hey, ah, yeah  
Yeah, yeah, yeah  
I'm back in the USSR  
You don't know how lucky you are, boys  
Back in the USSR  
  
Well the Ukraine girls really knock me out  
They leave the west behind  
And Moscow girls make me sing and shout  
That Georgia's always on my my my my my my my my my mind  
  
Oh, show me round your snow peaked  
Mountain way down south  
Take me to your daddy's farm  
Let me hear your balalaika's ringing out  
Come and keep your comrade warm  
I'm back in the USSR  
Hey, you don't know how lucky you are, boy  
Back in the USSR  
Oh, let me tell you honey

"
47,The Beatles,Bad Boy,"A bad little kid moved into my neighborhood  
He won't do nothing right just sitting down and looks so good  
He don't want to go to school and learn to read and write  
Just sits around the house and plays the rock and roll music all night  
Well, he put some tacks on teachers chair  
Puts some gum in little girl's hair  
Hey, junior, behave yourself  
  
Buys every rock and roll book on the magazine stand  
Every dime that he get is lost to the jukebox man  
Well he worries his teacher till at night she's ready to poop  
From rocking and a-rolling spinning in a hula hoop  
Well this rock and roll has got to stop  
Junior's head is hard as rock  
Now, junior, behave yourself  
  
Going tell your mama you better do what she said  
Get to the barber shop and get that hair cut off your head  
Threw the canary and you fed it to the neighbors cat  
You gave the cocker spaniel a bath in mother's laundromat  
Well, mama's head has got to stop  
Junior's head is hard as rock  
Now, junior, behave yourself

"
48,The Beatles,Bad To Me,"If you ever leave me, I'll be sadand blue  
Don't you ever leave me, I'm so in love with you  
The birds in the sky would be sad and lonely,  
If they knew that I lost my one and only,  
They'd be sad if you're bad to me  
The leaves on the trees would be softly sighin  
If they heard from the breeze that you left me crying,  
They'd be sad, don't be bad to me  
But I know you won't leave me cause you told me so,  
And I've no intention of letting you go,  
Just as long as you let me know, you won't be bad to me  
So the birds in the sky won't be sad and lonely,  
Cause they know I got my one and only  
They'd be glad that you're not bad to me  
But I know you won't leave me cause you told me so,  
And I've no intention of letting you go,  
Just as long as you let me know, you won't be bad to me  
So the birds in the sky won't be sad and lonely,  
"" Cos they know I got my one and only  
They'd be glad that you're not bad to me,  
They'd be glas that you're not bad to me, to me, to me

"
49,The Beatles,Being For The Benefit Of Mr. Kite,"For the benefit of Mr. Kite  
There will be a show tonight on trampoline  
The Hendersons will all be there  
Late of Pablo Fanques' Fair-what a scene  
Over men and horses hoops and garters  
Lastly through a hogshead of real fire!  
In this way Mr. K. will challenge the world!  
  
The celebrated Mr. K.  
Performs his feat on Saturday at Bishops Gate  
The Hendersons will dance and sing  
As Mr. Kite flies through the ring, don't be late  
Messrs. K and H. assure the public  
Their production will be second to none  
And of course Henry The Horse dances the waltz!  
  
The band begins at ten to six  
When Mr. K. performs his tricks without a sound  
And Mr. H. will demonstrate  
Ten somersaults he'll undertake on solid ground  
Having been some days in preparation  
A splendid time is guaranteed for all  
And tonight Mr. Kite is topping the bill

"
50,The Beatles,Besame Mucho,"Esame besame mucho,  
Each time I bring you a kiss  
I hear music divine.  
So besame besame mucho,  
I love you for ever,  
Say that you'll always be mine.  
  
Dearest one, if you should leave me  
Then each little dream will take wings  
And my life would be through.  
Oh besame besame mucho,  
I love you for ever,  
You make all my dreams come true.  
  
Oh this joy is something new,  
My arms they're holding you,  
I never knew this thrill before.  
Who ever thought I'd be  
Holding you close to me  
Whispering: it's you I adore.  
  
Yes so dearest one, if you should leave me  
Then each little dream will take wings,  
And my life would be through.  
  
Oh so besame besame mucho,  
I love you for ever,  
Make all my dreams come true.  
Oh this joy is something new,  
My arms are holding you,  
I never knew this thrill before.  
Who ever thought I'd be  
Holding you close to me  
Whispering it's you I adore.  
  
Oh so dearest one, if you should leave me,  
Then each little dream will take wings  
And my life would be through.  
  
Oh so besame besame mucho,  
I love you for ever,  
Make all my dreams come true.  
I love you for ever,  
Make all my dreams come true.  
I love you for ever,  
Make all my dreams come true.

"
51,The Beatles,Carry That Weight,"Boy, you gotta carry that weight  
Carry that weight a long time  
Boy, you gonna carry that weight  
Carry that weight a long time  
  
I never give you my pillow  
I only send you my invitation  
And in the middle of the celebrations  
I break down  
  
Boy, you gotta carry that weight  
Carry that weight a long time  
Boy, you gotta carry that weight  
You're gonna carry that weight along time

"
52,The Beatles,Chains,"Chains, my baby's got me locked up in chains,  
And they ain't the kind, that you can see  
Whoa, these chains of love,  
Got a hold on me, yeah  
  
Chains, well I can't break away from these chains,  
Can't run around 'cause I'm not free  
Whoa, these chains of love won't let me be, yeah  
  
I want to tell you pretty baby,  
I think you're fine  
I'd like to love you, but,  
Darling, I'm imprisoned by these  
  
Chains, my baby's got me locked up in chains,  
And they ain't the kind, that you can see  
Whoa, it's chains of love got a hold on me, yeah  
  
Please believe me when I tell you, your lips are sweet  
I'd like to kiss them but I can't break away from all these  
  
Chains, my baby's got me locked up in chains,  
And they ain't the kind that you can see  
Whoa, these chains of love got a hold on me, yeah  
  
Chains, chains of love  
Chains of love  
Chains of love

"
53,The Beatles,Child Of Nature,"I was dreaming of the past  
And my heart was beating fast  
I began to lose control  
I began to lose control  
I didn't mean to hurt you  
I'm sorry that I made you cry  
Oh well I didn't want to hurt you  
I'm just a jealous guy  
I was feeling insecure  
You might not love me any more  
I was shivering inside  
I was shivering inside  
I didn't mean to hurt you  
I'm sorry that I made you cry  
Oh well I didn't want to hurt you  
I'm just a jealous guy  
I was tryin' to catch your eyes  
Thought that you was tryin' to hide  
I was swallowing my pain  
I was swallowing my pain  
I didn't mean to hurt you  
I'm sorry that I made you cry  
Oh well I didn't want to hurt you  
I'm just a jealous guy  
Watch out  
I'm just a jealous guy  
Look out baby  
I'm just a jealous guy

"
54,The Beatles,Christmas Time,"Christmas time is here again  
Christmas time is here again  
Christmas time is here again  
Christmas time is here again  
  
Ain't been round since you know when  
Christmas time is here again  
O-you-t spells "" out""  
  
Christmas time is here again  
Christmas time is here again  
Christmas time is here again  
Christmas time is here again  
  
Ain't been round since you know when  
Christmas time is here again  
O-you-t spells "" out""  
  
Christmas time is here again  
Christmas time is here again  
Christmas time is here again  
Christmas time is here again  
  
Ain't been round since you know when  
Christmas time...[music continues and fades to background]  
  
[spoken]  
  
This is paul mccartney here, I'd just like to wish you everything you wish
yourself for christmas.  
  
This is john lennon saying on behalf of the beatles, have a very happy
christmas and a good new year.  
  
George harrison speaking. I'd like to take this opportunity to wish you a very
merry christmas, listeners everywhere.  
  
This is ringo starr and I'd just like to say merry christmas and a really
happy new year to all listeners  
  
[a john lennon pastiche at this point, very hard to understand]

"
55,The Beatles,Clarabella,"Well, I got a baby crazy for me  
Yeah, I got a baby won't let me alone  
Baby baby, Clarabella  
Baby baby, Clarabella  
Baby baby, wo wo, yeah uh  
  
Well, she needs no coaching on making love  
All she needs is the stars up above  
Who, baby baby, Clarabella  
Baby baby, Clarabella  
Baby baby, wo wo, yeah uh  
Ahh! Woo hoo  
  
Well now, Clarabella  
You're my honey, Clarabella  
Ooh yeah now, Clarabella  
I said you're my baby  
Clarabella  
Yeah, Clarabella, baby  
Wo wo, yeah yeh  
  
Well, she's got no time for a dungeries  
Already knows her ABC's  
Who, baby baby, Clarabella  
Baby baby, Clarabella  
Baby baby, wo wo, yeah yeh  
Ahh ow! Woo  
  
Well now, Clarabella  
Yeah, you're my honey, Clarabella  
Woo ooh, you're my baby, Clarabella  
You're my honey, Clarabella  
Yeah, Clarabella, baby  
Wo wo, yeah heh yeah, oh yeah

"
56,The Beatles,Cold Turkey,"Temperature's rising  
Fever is high  
Can't see not future  
Can't see no sky  
My feet are so heavy  
So is my head  
I wish I was a baby  
I wish I was dead  
Cold turkey has got me on the run  
Body is aching  
Goose-pimple bone  
Can't see no body  
Leave me alone  
My eyes are wide open  
Can't get to sleep  
One thing I'm sure of  
I'm at the deep freeze  
Cold turkey has got me on the run  
Cold turkey has got me on the run  
Thirty-six hours  
Rolling in pain  
Praying for someone  
Free me again  
Oh I'll be a good boy  
Please make me well  
I promise you anything  
Get me out of this hell  
Cold turkey has got me on the run

"
57,The Beatles,Come And Get It,"If you want it  
Here it is,  
Come and get it.  
Make your mind up fast.  
  
If you want it  
Anytime I can give it  
But you better hurry  
Cause it may not last.  
  
Did I hear you say  
That there must be a catch  
Will you walk away  
From a fool and his money  
  
If you want it,  
Here it is,  
Come and get it,  
But you better hurry  
Cause it's going fast.  
  
If you want it  
Here it is,  
Come and get it,  
Make your mind up fast.  
  
If you want it  
Anytime I can give it,  
But you'd better hurry  
Cause it may not last.  
  
Did I hear you say  
That there must be a catch  
Will you walk away  
From a fool and his money  
  
Sonny, if you want it,  
Here it is,  
Come and get it  
But you'd better hurry  
Cause it's going fast.  
You'd better hurry  
Cause it's going fast.  
  
Fool and his money.  
  
Sonny, if you want it,  
Here it is,  
Come and get it,  
But you'd better hurry  
Cause it's going fast,  
You'd better hurry  
Cause it's going fast,  
You'd better hurry  
Cause it's going fast.

"
58,The Beatles,Come Together,"Here come old flat top  
He come groovin' up slowly  
He got joo joo eyeballs  
He one holy rollers  
He got hair down to his knee  
Got to be a joker  
He just do what he please  
  
He wear no shoeshine  
He got toe jam football  
He got monkey finger  
He shoot Coca Cola  
He say I know you, you know me  
One thing I can tell you is  
You got to be free  
Come together, right now  
Over me  
  
He Bag production  
He got walrus gumboat  
He got Ono sideboard  
He one spinal cracker  
He got feet down below his knees  
Hold you in his arms, yeah,  
You can feel his disease  
Come together, right now  
Over me  
  
He roller coaster  
He got early warning  
He got muddy water  
He one Mojo filter  
He say one and one and one is three  
Got to be good looking  
Cause he's so hard to see  
Come together right now  
Over me  
  
Come together, yeah  
Come together, yeah  
Come together, yeah  
Come together, yeah  
Come together, yeah  
Come together, yeah  
Come together, yeah  
Come together, yeah  
Come together, yeah

"
59,The Beatles,Commonwealth,"Immigrants. Wilson Health said to the immgrants you better get back to the  
Commonwealth homes. Yeah, yeah, yeah I said Get back home. Now Enoch Powell
was  
Said to the folks color of his skin. He said don't care. So he said you better  
Get up. He said he said to Enoch Powell. You better go home. So Wilson said
to.  
We got to swing. We have to go the hill. So Wilson Health said to Enoch Powell  
We got to the commonwealth. Commonwealth yeah commonwealth yeah commonwealth  
Yeah commonwealth yeah.  
Commonwealth yeah. If you don't want trouble you got to go home. To Indania.  
I've have enough of that. I'm coming back yeah to England. Dirty Enoch Powell.  
Commonwealth. Commonwealth yeah. Don't you hear me commonwealth yeah. Well I  
Check Austria England India. Enoch powell. Oh commonwealth yeag. Oh  
Commonwealth yeah. Yeah commonwealth yeah. Commonwealth yeah. It's to common
to  
Me. I came down the street to New Zealand. Commonwealth. Commonwealth yeah.  
Commonwealth yeah. Enoch Powell commonwealth yeah. Immigrants commonwealth  
Yeah. Market.

"
60,The Beatles,Crinsk Dee Night,"[Speech]  
  
Brian Matthew: The next few minutes, we're in the lap of the gods and the
hands of the Beatles. In my young days, when I was a lad, they used to have
actors in films and now that they--  
Paul: Yes?  
John: Hey! Listen!  
Paul: It's all changed, now, Brian. They're not doing that, no actors.  
John: It's all changed, now.  
Brian: But this is what I wonder. In those days, the actors used to say their
best bits were left on the cutting room floor. Did you find that?  
John: No, no, no, those were the good bits in the film. You should have seen
the rest.  
Brian: Yes?  
John: Rubbish!  
Brian: Was it, really?  
John: Even worse, yes.  
Brian: Who was worst?  
John: Oh, Paul.  
Brian: I see.  
Paul: I think John was about the worst.  
John: No, it was you.  
Paul: Oh, Ringo was very good. He was. He's a good lad.  
Brian: He was. They're saying he's a new Charlie Chaplin. Do you think that's
right?  
John: He was miming.  
Paul: You, too, with Jason.  
John: Oh, yes, he's an old one. Okay, Ring?  
Brian: Beginning to look like that. Now, then--  
Ringo: All right, John. Can you hear me?  
Paul: Can you hear him? Hello!  
Brian: Not really. I hope not. I hope not!  
John: We brought you the flowers, Ring.  
Brian: He's not allowed to talk.  
Ringo: Eh?  
John: We brought you the flowers.  
Ringo: Oh, good.  
John: And the grapes.  
Ringo: Oh, I like grapes.  
Paul: He likes grapes.  
George: We've been to Portugal.  
Brian: Guess who's, guess who's top of the pops in Portugal, then.  
All: Who?  
Brian: Los Beatles.  
John: Los Beatles? Great, great laugh.  
Brian: I don't suppose you know the title of your film in Portuguese?  
John: No. Crinsk dee Night?  
Brian: Could be. Let's hear the number, shall we?  
John: Right

"
61,The Beatles,Cry Baby Cry,"Cry baby cry  
Make your mother sigh  
She's old enough to know better.  
  
The King of Marigold was in the kitchen  
Cooking breakfast for the Queen  
The Queen was in the parlor  
Playing piano for the children of the King.  
  
Cry baby cry  
Make your mother sigh  
She's old enough to know better.  
So cry baby cry.  
  
The King was in the garden  
Picking flowers for a friend who came to play  
The Queen was in the playroom  
Painting pictures for the children's holiday.  
  
Cry baby cry  
Make your mother sigh  
She's old enough to know better.  
So cry baby cry.  
  
The Dutchess of Kircaldy always smiling  
And arriving late for tea  
The Duke was having problems  
With a message at the local Bird and Bee.  
  
Cry baby cry  
Make your mother sigh  
She's old enough to know better.  
So cry baby cry.  
  
At twelve o'clock a meeting round the table  
For a seance in the dark  
With voices out of nowhere  
Put on specially by the children for a lark.  
  
Cry baby cry  
Make your mother sigh  
She's old enough to know better.  
So cry baby cry cry cry cry baby  
Make your mother sigh.  
  
She's old enough to know better  
Cry baby cry  
Cry cry cry  
Make your mother sigh  
She's old enough to know better.  
So cry baby cry.

"
62,The Beatles,"Crying, Waiting, Hoping","Crying, waiting, hoping you'll come back  
I just can't seem to get you off my mind  
Crying, waiting, hoping you'll come back  
You're the one I love, I think about you all the time  
  
Crying, do do do do, tear keep a falling all night long  
Waiting, do do do do, it seems so useless I know it's wrong  
Keep a crying, waiting, hoping you'll come back  
Maybe someday soon it'll change and you'll be mine  
  
Crying, do do do do, tears keep a falling all night long  
Waiting, do do do do, it seems so useless I know it's wrong  
Keep a crying, waiting, hoping you'll come back  
Maybe someday soon it'll change and you'll be mine  
Crying, waiting, hoping

"
63,The Beatles,Day Tripper,"Got a good reason  
For taking the easy way out  
Got a good reason  
For taking the easy way out now  
She was a day tripper  
One way ticket, yeah  
It took me so long to find out  
And I found out  
  
She's a big teaser  
She took me half the way there  
She's a big teaser  
She took me half the way there, now  
She was a day tripper  
One way ticket, yeah  
It took me so long to find out  
And I found out  
Ah, ah, ah, ah, ah, ah  
  
Tried to please her  
She only played one night stand  
Tried to please her  
She only played one night stand, now  
She was a day tripper  
Sunday driver, yeah  
It took me so long to find out  
And I found out  
  
Day tripper, day tripper, yeah  
Day tripper, day tripper, yeah  
Day tripper, day tripper, yeah

"
64,The Beatles,Dear Prudence,"Dear Prudence, won't you come out to play  
Dear Prudence, greet the brand new day  
The sun is up, the sky is blue  
It's beautiful and so are you  
Dear Prudence won't you come out to play  
  
Dear Prudence open up your eyes  
Dear Prudence see the sunny skies  
The wind is low the birds will sing  
That you are part of everything  
Dear Prudence won't you open up your eyes?  
  
Look around round  
Look around round round  
Look around  
  
Dear Prudence let me see you smile  
Dear Prudence like a little child  
The clouds will be a daisy chain  
So let me see you smile again  
Dear Prudence won't you let me see you smile?  
  
Dear Prudence, won't you come out to play  
Dear Prudence, greet the brand new day  
The sun is up, the sky is blue  
It's beautiful and so are you  
Dear Prudence won't you come out to play

"
65,The Beatles,Devil In Her Heart,"She's got the devil in her heart  
But her eyes they tantalize  
She's gonna tear your heart apart  
Oh her lips they really thrill me  
  
I'll take my chances  
For romance is  
So important to me  
She'll never hurt me  
She won't desert me  
She's an angel sent to me  
  
She's got the devil in her heart  
No, no, this I can't believe  
She's gonna tear your heart apart  
No, no nay will she deceive  
  
I can't believe that she'll ever ever go  
Not when she hugs and says she loves me so  
She'll never hurt me  
She won't desert me  
Listen can't you see  
  
She's got the devil in her heart  
Oh, no, no, no, this I can't believe  
She's gonna tear your heart apart  
No no nay will she deceive  
  
Don't take chances if your romance is  
So important to you  
She'll never hurt me  
She won't desert me  
She's an angel sent to me  
  
She's got the devil in her heart  
Oh, no, no, no, no this I can't believe  
She's gonna tear your heart apart  
No, no nay will she deceive  
  
She's got the devil in her heart  
No she's an angel sent to me  
She's got the devil in her heart  
No she's an angel sent to me

"
66,The Beatles,Do You Want To Know A Secret,"You'll never know how much I really love you  
You'll never know how much I really care  
Listen do you want to know a secret  
Do you promise not to tell woh woh woh closer  
Let me whisper in your ear  
Say the words you long to hear  
I'm in love with you oo  
I've known the secret for a week or two  
Nobody knows just we two  
Listen do you want to know a secret  
Do you promise not to tell woh woh woh closer  
Let me whisper in your ear  
Say the words you long to hear  
I'm in love with you oo

"
67,The Beatles,Don't Bother Me,"Since she's been gone I want no one to talk to me.  
It's not the same but I'm to blame, it's plain to see.  
  
So go away, leave me alone, don't bother me.  
I can't believe that she would leave me on my own.  
It's just not right when every night I'm all alone.  
  
I've got no time for you right now, don't bother me.  
I know I'll never be the same if I don't get her back again.  
Because I know she'll always be the only girl for me.  
  
But 'till she's here please don't come near, just stay away.  
I'll let you know when she's come home.  
Until that day  
  
Don't come around, leave me alone, don't bother me.  
I've got no time for you right now, don't bother me.  
I know I'll never be the same if I don't get her back again.  
Because I know she'll always be the only girl for me.  
  
But 'till she's here please don't come near, just stay away.  
I'll let you know when she's come home.  
Until that day  
  
Don't come around, leave me alone, don't bother me.  
Don't bother me.  
Don't bother me.  
Don't bother me.  
Don't bother me.

"
68,The Beatles,Don't Ever Change,"[Speech]  
Rodney Burke: That was a, a Little Richard number that the boys rather like
and hope you liked it, ""Ooh! My Soul."" And, ooh, my arms! We've, we've just
flown in to Manchester here from London to record this show. Ha, ha. Well,
it's, ha, ha, it's good to see you again, fellers, in these, er, foreign
parts. How are you?  
John: Oh, great!  
George: Very well, thank you.  
Ringo: Oh, great, yeah, it's just fine.  
Paul: Yeah.  
Rodney: Well, what are you doing at the moment, by the way?  
George: Ah, we're playing in Liverpool at the moment and we've never been
there months, you see, so it's--  
Ringo: It's good to be back.  
Paul Yeah, it's great!  
Rodney: Anybody over there like a request that you can do right now?  
George: Well, we'll do a request for everybody.  
Paul: Yeah.  
Rodney: Good, what do you suggest?  
George: Er, ""Don't Ever Change,"" one of the oldies.  

"
69,The Beatles,Don't Let Me Down,"Don't let me down  
Don't let me down  
Don't let me down  
Don't let me down  
  
Nobody ever loved me like she does  
Ooh, she does  
Yes, she does  
And if somebody loved me like she do me  
Ooh, she do me  
Yes, she does  
  
Don't let me down  
Don't let me down  
Don't let me down  
Don't let me down  
  
I'm in love for the first time  
Don't you know it's gonna last?  
It's a love that lasts forever  
It's a love that has no past  
  
Don't let me down  
Don't let me down  
Don't let me down  
Don't let me down  
  
And from the first time that she really done me  
Ooh, she done me  
She done me good  
I guess nobody ever really done me  
Ooh, she done me  
She done me good  
  
Don't let me down  
Don't let me down  
Don't let me down  
Don't let me down  
Don't let me down  
Don't let me down  
Don't let me down  
Don't let me down

"
